CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"drift33_1st_1_8_21"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2022-01-08T18:06:18"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	957
BEGIN_DATA
8	H1	  255.00	  255.00	    0.00	 0.69525	 0.74466	 0.03822	   89.14	   -4.84	  109.46	    0.0191	    0.0204	    0.0213	    0.0218	    0.0187	    0.0138	    0.0118	    0.0121	    0.0159	    0.0222	    0.0292	    0.0592	    0.2128	    0.4818	    0.6853	    0.7781	    0.8168	    0.8318	    0.8340	    0.8361	    0.8338	    0.8333	    0.8337	    0.8355	    0.8381	    0.8410	    0.8456	    0.8498	    0.8531	    0.8559	    0.8609	    0.8652	    0.8687	    0.8701	    0.8693	    0.8698	
9	I1	   14.00	   14.00	   14.00	 0.00693	 0.00631	 0.00531	    5.70	    3.39	   -0.20	    0.0034	    0.0036	    0.0038	    0.0038	    0.0049	    0.0060	    0.0064	    0.0065	    0.0068	    0.0069	    0.0068	    0.0069	    0.0064	    0.0061	    0.0056	    0.0054	    0.0054	    0.0053	    0.0052	    0.0055	    0.0063	    0.0070	    0.0075	    0.0077	    0.0077	    0.0082	    0.0094	    0.0111	    0.0129	    0.0144	    0.0148	    0.0150	    0.0153	    0.0154	    0.0172	    0.0194	
10	J1	   24.00	   24.00	   24.00	 0.01102	 0.00978	 0.00911	    8.81	    5.67	   -1.76	    0.0059	    0.0063	    0.0066	    0.0067	    0.0082	    0.0101	    0.0110	    0.0116	    0.0119	    0.0118	    0.0117	    0.0111	    0.0105	    0.0095	    0.0085	    0.0080	    0.0081	    0.0079	    0.0076	    0.0083	    0.0097	    0.0112	    0.0121	    0.0123	    0.0123	    0.0130	    0.0149	    0.0177	    0.0208	    0.0229	    0.0238	    0.0241	    0.0241	    0.0246	    0.0270	    0.0301	
11	K1	   85.00	   85.00	  170.00	 0.14812	 0.13036	 0.24282	   42.82	   14.26	  -31.62	    0.1728	    0.1842	    0.1922	    0.1972	    0.2338	    0.2919	    0.3161	    0.3219	    0.3205	    0.3126	    0.2889	    0.2489	    0.2101	    0.1709	    0.1341	    0.1159	    0.1112	    0.0998	    0.0867	    0.0894	    0.1063	    0.1271	    0.1402	    0.1409	    0.1362	    0.1390	    0.1577	    0.1891	    0.2233	    0.2461	    0.2539	    0.2534	    0.2488	    0.2476	    0.2613	    0.2922	
12	L1	  170.00	  255.00	  170.00	 0.43247	 0.56429	 0.37036	   79.86	  -30.44	   12.15	    0.2382	    0.2540	    0.2650	    0.2719	    0.3121	    0.3726	    0.4004	    0.4181	    0.4346	    0.4579	    0.5023	    0.5913	    0.7061	    0.7728	    0.7786	    0.7502	    0.7052	    0.6430	    0.5658	    0.4972	    0.4477	    0.4171	    0.3918	    0.3745	    0.3726	    0.3805	    0.3965	    0.4215	    0.4487	    0.4623	    0.4590	    0.4469	    0.4292	    0.4184	    0.4353	    0.4847	
13	M1	  255.00	   85.00	  170.00	 0.50684	 0.34520	 0.21173	   65.37	   52.78	   13.21	    0.1837	    0.1959	    0.2044	    0.2097	    0.2427	    0.2841	    0.2825	    0.2699	    0.2583	    0.2469	    0.2359	    0.2349	    0.2363	    0.1994	    0.1496	    0.1375	    0.1478	    0.1326	    0.1339	    0.2263	    0.4238	    0.6183	    0.7240	    0.7763	    0.8040	    0.8195	    0.8311	    0.8405	    0.8478	    0.8539	    0.8607	    0.8661	    0.8710	    0.8742	    0.8724	    0.8695	
14	N1	  170.00	    0.00	  170.00	 0.20621	 0.10315	 0.09800	   38.40	   64.51	   -4.51	    0.1195	    0.1274	    0.1329	    0.1364	    0.1587	    0.1839	    0.1707	    0.1432	    0.1169	    0.0898	    0.0596	    0.0360	    0.0224	    0.0112	    0.0057	    0.0047	    0.0049	    0.0046	    0.0053	    0.0171	    0.0818	    0.2038	    0.3033	    0.3539	    0.3754	    0.3905	    0.4124	    0.4398	    0.4651	    0.4811	    0.4891	    0.4922	    0.4935	    0.4966	    0.5058	    0.5220	
15	O1	   20.00	   20.00	   20.00	 0.00952	 0.00838	 0.00777	    7.57	    5.66	   -1.60	    0.0054	    0.0057	    0.0060	    0.0061	    0.0072	    0.0086	    0.0092	    0.0097	    0.0099	    0.0103	    0.0104	    0.0096	    0.0089	    0.0081	    0.0072	    0.0067	    0.0068	    0.0067	    0.0065	    0.0071	    0.0083	    0.0096	    0.0105	    0.0107	    0.0107	    0.0113	    0.0130	    0.0157	    0.0186	    0.0205	    0.0215	    0.0222	    0.0222	    0.0228	    0.0242	    0.0280	
16	P1	  255.00	   85.00	   85.00	 0.48867	 0.34254	 0.08456	   65.16	   48.80	   46.35	    0.0727	    0.0775	    0.0808	    0.0829	    0.0916	    0.0994	    0.0960	    0.0928	    0.0911	    0.0922	    0.1035	    0.1411	    0.1879	    0.1868	    0.1561	    0.1488	    0.1565	    0.1410	    0.1434	    0.2316	    0.4274	    0.6253	    0.7299	    0.7808	    0.8073	    0.8217	    0.8324	    0.8411	    0.8476	    0.8528	    0.8598	    0.8649	    0.8703	    0.8726	    0.8707	    0.8675	
17	Q1	   28.00	   28.00	   28.00	 0.01316	 0.01173	 0.01100	   10.36	    5.89	   -1.98	    0.0082	    0.0087	    0.0091	    0.0093	    0.0104	    0.0120	    0.0130	    0.0137	    0.0142	    0.0148	    0.0144	    0.0135	    0.0125	    0.0115	    0.0101	    0.0096	    0.0098	    0.0094	    0.0091	    0.0100	    0.0117	    0.0134	    0.0145	    0.0147	    0.0148	    0.0156	    0.0177	    0.0208	    0.0241	    0.0265	    0.0276	    0.0277	    0.0277	    0.0281	    0.0306	    0.0346	
