CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"drift33_2nd_1_8_21r"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2022-01-08T18:46:17"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	957
BEGIN_DATA
8	H1	    0.00	  170.00	  170.00	 0.04623	 0.07938	 0.22415	   33.85	  -33.24	  -43.57	    0.1007	    0.1073	    0.1120	    0.1149	    0.1425	    0.1938	    0.2461	    0.2825	    0.2999	    0.3134	    0.3244	    0.3298	    0.3212	    0.2843	    0.2220	    0.1504	    0.0849	    0.0360	    0.0116	    0.0048	    0.0035	    0.0032	    0.0032	    0.0034	    0.0036	    0.0037	    0.0038	    0.0042	    0.0050	    0.0058	    0.0051	    0.0047	    0.0049	    0.0058	    0.0073	    0.0103	
9	I1	  255.00	   85.00	  255.00	 0.54692	 0.36040	 0.44214	   66.55	   58.07	  -20.11	    0.3563	    0.3799	    0.3963	    0.4067	    0.4902	    0.6125	    0.6289	    0.6007	    0.5696	    0.5302	    0.4599	    0.3803	    0.3146	    0.2294	    0.1494	    0.1303	    0.1471	    0.1316	    0.1323	    0.2395	    0.4400	    0.6170	    0.7180	    0.7700	    0.7978	    0.8137	    0.8260	    0.8365	    0.8454	    0.8524	    0.8589	    0.8644	    0.8703	    0.8738	    0.8735	    0.8723	
10	J1	    0.00	  255.00	  170.00	 0.07399	 0.16725	 0.28754	   47.91	  -63.01	  -30.54	    0.1393	    0.1485	    0.1550	    0.1590	    0.1925	    0.2512	    0.3013	    0.3370	    0.3561	    0.3779	    0.4198	    0.4920	    0.5562	    0.5455	    0.4667	    0.3541	    0.2356	    0.1295	    0.0563	    0.0235	    0.0126	    0.0088	    0.0068	    0.0058	    0.0057	    0.0059	    0.0067	    0.0086	    0.0120	    0.0138	    0.0127	    0.0107	    0.0093	    0.0101	    0.0140	    0.0256	
11	K1	    0.00	   85.00	    0.00	 0.01360	 0.02883	 0.01150	   19.57	  -32.51	   13.20	    0.0086	    0.0091	    0.0095	    0.0098	    0.0098	    0.0097	    0.0094	    0.0093	    0.0097	    0.0112	    0.0149	    0.0266	    0.0473	    0.0609	    0.0627	    0.0575	    0.0480	    0.0356	    0.0236	    0.0158	    0.0119	    0.0099	    0.0086	    0.0079	    0.0077	    0.0078	    0.0084	    0.0094	    0.0109	    0.0119	    0.0116	    0.0108	    0.0096	    0.0099	    0.0119	    0.0170	
12	L1	    0.00	   85.00	    0.00	 0.01345	 0.02866	 0.01142	   19.50	  -32.63	   13.18	    0.0081	    0.0086	    0.0090	    0.0092	    0.0096	    0.0096	    0.0094	    0.0093	    0.0097	    0.0108	    0.0147	    0.0266	    0.0472	    0.0608	    0.0625	    0.0573	    0.0479	    0.0354	    0.0234	    0.0156	    0.0117	    0.0097	    0.0085	    0.0077	    0.0076	    0.0077	    0.0082	    0.0092	    0.0107	    0.0115	    0.0111	    0.0103	    0.0094	    0.0095	    0.0112	    0.0171	
13	M1	    0.00	    0.00	  255.00	 0.12184	 0.05552	 0.33251	   28.25	   60.16	  -71.43	    0.2646	    0.2820	    0.2943	    0.3019	    0.3662	    0.4712	    0.5081	    0.4958	    0.4571	    0.3967	    0.2987	    0.1712	    0.0829	    0.0410	    0.0209	    0.0135	    0.0124	    0.0131	    0.0125	    0.0137	    0.0223	    0.0481	    0.0847	    0.0948	    0.0758	    0.0730	    0.1156	    0.2170	    0.3616	    0.5037	    0.6170	    0.6987	    0.7552	    0.7907	    0.8111	    0.8231	
14	N1	    0.00	  170.00	  255.00	 0.09008	 0.11148	 0.48158	   39.83	  -13.76	  -70.88	    0.2039	    0.2174	    0.2269	    0.2328	    0.2982	    0.4268	    0.5662	    0.6546	    0.6821	    0.6871	    0.6553	    0.5774	    0.4867	    0.3903	    0.2822	    0.1777	    0.0939	    0.0372	    0.0108	    0.0041	    0.0030	    0.0027	    0.0026	    0.0026	    0.0028	    0.0029	    0.0032	    0.0040	    0.0059	    0.0074	    0.0062	    0.0054	    0.0052	    0.0065	    0.0077	    0.0114	
15	O1	    4.00	    4.00	    4.00	 0.00357	 0.00359	 0.00278	    3.24	    0.45	    0.33	    0.0027	    0.0028	    0.0030	    0.0030	    0.0032	    0.0033	    0.0033	    0.0033	    0.0033	    0.0034	    0.0036	    0.0038	    0.0036	    0.0036	    0.0035	    0.0034	    0.0035	    0.0035	    0.0034	    0.0035	    0.0035	    0.0036	    0.0036	    0.0037	    0.0037	    0.0039	    0.0043	    0.0049	    0.0056	    0.0060	    0.0062	    0.0065	    0.0066	    0.0073	    0.0081	    0.0099	
16	P1	  255.00	  170.00	  170.00	 0.62481	 0.56007	 0.31290	   79.62	   20.53	   20.10	    0.2289	    0.2440	    0.2546	    0.2612	    0.2990	    0.3519	    0.3658	    0.3693	    0.3738	    0.3813	    0.4005	    0.4514	    0.5106	    0.4993	    0.4421	    0.4264	    0.4467	    0.4297	    0.4279	    0.5209	    0.6484	    0.7358	    0.7800	    0.8026	    0.8150	    0.8231	    0.8312	    0.8392	    0.8460	    0.8518	    0.8581	    0.8629	    0.8676	    0.8703	    0.8701	    0.8691	
17	Q1	    0.00	    0.00	  255.00	 0.12346	 0.05657	 0.33371	   28.53	   60.07	  -71.12	    0.2702	    0.2881	    0.3006	    0.3084	    0.3706	    0.4730	    0.5093	    0.4968	    0.4581	    0.3978	    0.3001	    0.1731	    0.0841	    0.0417	    0.0214	    0.0139	    0.0129	    0.0135	    0.0130	    0.0142	    0.0231	    0.0496	    0.0868	    0.0972	    0.0780	    0.0751	    0.1182	    0.2208	    0.3664	    0.5093	    0.6226	    0.7043	    0.7610	    0.7969	    0.8171	    0.8280	
