DESCRIPTOR	"Chart 400 Patches"
NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	400
BEGIN_DATA
154	-	  255.00	  182.14	   85.00	
155	-	    0.00	  218.57	   85.00	
156	-	   42.50	  218.57	   85.00	
157	-	   85.00	  218.57	   85.00	
158	-	  127.50	  218.57	   85.00	
159	-	  170.00	  218.57	   85.00	
160	-	  212.50	  218.57	   85.00	
161	-	  255.00	  218.57	   85.00	
162	-	    0.00	  255.00	   85.00	
163	-	   42.50	  255.00	   85.00	
164	-	   85.00	  255.00	   85.00	
165	-	  127.50	  255.00	   85.00	
166	-	  170.00	  255.00	   85.00	
167	-	  212.50	  255.00	   85.00	
168	-	  255.00	  255.00	   85.00	
169	-	    0.00	    0.00	  127.50	
170	-	   42.50	    0.00	  127.50	
171	-	   85.00	    0.00	  127.50	
172	-	  127.50	    0.00	  127.50	
173	-	  170.00	    0.00	  127.50	
174	-	  212.50	    0.00	  127.50	
175	-	  255.00	    0.00	  127.50	
176	-	    0.00	   36.43	  127.50	
177	-	   42.50	   36.43	  127.50	
178	-	   85.00	   36.43	  127.50	
179	-	  127.50	   36.43	  127.50	
180	-	  170.00	   36.43	  127.50	
181	-	  212.50	   36.43	  127.50	
182	-	  255.00	   36.43	  127.50	
183	-	    0.00	   72.86	  127.50	
184	-	   42.50	   72.86	  127.50	
185	-	   85.00	   72.86	  127.50	
186	-	  127.50	   72.86	  127.50	
187	-	  170.00	   72.86	  127.50	
188	-	  212.50	   72.86	  127.50	
189	-	  255.00	   72.86	  127.50	
190	-	    0.00	  109.29	  127.50	
191	-	   42.50	  109.29	  127.50	
192	-	   85.00	  109.29	  127.50	
193	-	  127.50	  109.29	  127.50	
194	-	  170.00	  109.29	  127.50	
195	-	  212.50	  109.29	  127.50	
196	-	  255.00	  109.29	  127.50	
197	-	    0.00	  145.71	  127.50	
198	-	   42.50	  145.71	  127.50	
199	-	   85.00	  145.71	  127.50	
200	-	  127.50	  145.71	  127.50	
201	-	  170.00	  145.71	  127.50	
202	-	  212.50	  145.71	  127.50	
203	-	  255.00	  145.71	  127.50	
204	-	    0.00	  182.14	  127.50	
205	-	   42.50	  182.14	  127.50	
206	-	   85.00	  182.14	  127.50	
207	-	  127.50	  182.14	  127.50	
208	-	  170.00	  182.14	  127.50	
209	-	  212.50	  182.14	  127.50	
210	-	  255.00	  182.14	  127.50	
211	-	    0.00	  218.57	  127.50	
212	-	   42.50	  218.57	  127.50	
213	-	   85.00	  218.57	  127.50	
214	-	  127.50	  218.57	  127.50	
215	-	  170.00	  218.57	  127.50	
216	-	  212.50	  218.57	  127.50	
217	-	  255.00	  218.57	  127.50	
218	-	    0.00	  255.00	  127.50	
219	-	   42.50	  255.00	  127.50	
220	-	   85.00	  255.00	  127.50	
221	-	  127.50	  255.00	  127.50	
222	-	  170.00	  255.00	  127.50	
223	-	  212.50	  255.00	  127.50	
224	-	  255.00	  255.00	  127.50	
225	-	    0.00	    0.00	  170.00	
226	-	   42.50	    0.00	  170.00	
227	-	   85.00	    0.00	  170.00	
228	-	  127.50	    0.00	  170.00	
229	-	  170.00	    0.00	  170.00	
230	-	  212.50	    0.00	  170.00	
231	-	  255.00	    0.00	  170.00	
232	-	    0.00	   36.43	  170.00	
233	-	   42.50	   36.43	  170.00	
234	-	   85.00	   36.43	  170.00	
235	-	  127.50	   36.43	  170.00	
236	-	  170.00	   36.43	  170.00	
237	-	  212.50	   36.43	  170.00	
238	-	  255.00	   36.43	  170.00	
239	-	    0.00	   72.86	  170.00	
240	-	   42.50	   72.86	  170.00	
241	-	   85.00	   72.86	  170.00	
242	-	  127.50	   72.86	  170.00	
243	-	  170.00	   72.86	  170.00	
244	-	  212.50	   72.86	  170.00	
245	-	  255.00	   72.86	  170.00	
246	-	    0.00	  109.29	  170.00	
247	-	   42.50	  109.29	  170.00	
248	-	   85.00	  109.29	  170.00	
249	-	  127.50	  109.29	  170.00	
250	-	  170.00	  109.29	  170.00	
251	-	  212.50	  109.29	  170.00	
252	-	  255.00	  109.29	  170.00	
253	-	    0.00	  145.71	  170.00	
254	-	   42.50	  145.71	  170.00	
255	-	   85.00	  145.71	  170.00	
256	-	  127.50	  145.71	  170.00	
257	-	  170.00	  145.71	  170.00	
258	-	  212.50	  145.71	  170.00	
259	-	  255.00	  145.71	  170.00	
260	-	    0.00	  182.14	  170.00	
261	-	   42.50	  182.14	  170.00	
262	-	   85.00	  182.14	  170.00	
263	-	  127.50	  182.14	  170.00	
264	-	  170.00	  182.14	  170.00	
265	-	  212.50	  182.14	  170.00	
266	-	  255.00	  182.14	  170.00	
267	-	    0.00	  218.57	  170.00	
268	-	   42.50	  218.57	  170.00	
269	-	   85.00	  218.57	  170.00	
270	-	  127.50	  218.57	  170.00	
271	-	  170.00	  218.57	  170.00	
272	-	  212.50	  218.57	  170.00	
273	-	  255.00	  218.57	  170.00	
274	-	    0.00	  255.00	  170.00	
275	-	   42.50	  255.00	  170.00	
276	-	   85.00	  255.00	  170.00	
277	-	  127.50	  255.00	  170.00	
