CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"i400_M2.txt"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED	"2022-01-08T19:02:49"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT

NUMBER_OF_SETS	400
BEGIN_DATA
9	9	   42.00	   36.00	    0.00	 0.02113	 0.02014	 0.00628	   15.56	    3.90	   14.99	  0.0054	  0.0058	  0.0060	  0.0061	  0.0067	  0.0069	  0.0066	  0.0065	  0.0065	  0.0067	  0.0083	  0.0112	  0.0148	  0.0169	  0.0177	  0.0182	  0.0181	  0.0175	  0.0174	  0.0190	  0.0223	  0.0250	  0.0256	  0.0259	  0.0267	  0.0281	  0.0300	  0.0323	  0.0347	  0.0362	  0.0371	  0.0371	  0.0373	  0.0379	  0.0408	    0.05
10	10	   85.00	   36.00	    0.00	 0.05537	 0.04073	 0.00756	   23.91	   20.88	   26.97	  0.0072	  0.0077	  0.0080	  0.0082	  0.0085	  0.0083	  0.0078	  0.0074	  0.0075	  0.0082	  0.0098	  0.0137	  0.0188	  0.0216	  0.0235	  0.0243	  0.0219	  0.0192	  0.0197	  0.0276	  0.0509	  0.0736	  0.0809	  0.0830	  0.0856	  0.0895	  0.0946	  0.1008	  0.1071	  0.1111	  0.1127	  0.1129	  0.1126	  0.1141	  0.1194	    0.13
11	11	  127.00	   36.00	    0.00	 0.10676	 0.07060	 0.00891	   31.94	   33.44	   38.45	  0.0096	  0.0103	  0.0106	  0.0110	  0.0107	  0.0098	  0.0089	  0.0084	  0.0088	  0.0095	  0.0114	  0.0162	  0.0227	  0.0267	  0.0296	  0.0307	  0.0265	  0.0219	  0.0226	  0.0368	  0.0882	  0.1461	  0.1665	  0.1722	  0.1776	  0.1845	  0.1931	  0.2033	  0.2129	  0.2190	  0.2213	  0.2213	  0.2201	  0.2214	  0.2305	    0.25
12	12	  170.00	   36.00	    0.00	 0.18275	 0.11144	 0.00920	   39.83	   46.60	   51.57	  0.0106	  0.0113	  0.0118	  0.0121	  0.0115	  0.0104	  0.0093	  0.0087	  0.0088	  0.0096	  0.0113	  0.0160	  0.0232	  0.0277	  0.0319	  0.0335	  0.0274	  0.0215	  0.0228	  0.0434	  0.1343	  0.2513	  0.2975	  0.3113	  0.3210	  0.3316	  0.3440	  0.3583	  0.3715	  0.3797	  0.3828	  0.3823	  0.3808	  0.3829	  0.3945	    0.41
13	13	  212.00	   36.00	    0.00	 0.28492	 0.16834	 0.00994	   48.05	   56.96	   64.57	  0.0111	  0.0118	  0.0124	  0.0126	  0.0121	  0.0110	  0.0098	  0.0092	  0.0093	  0.0104	  0.0122	  0.0171	  0.0259	  0.0325	  0.0391	  0.0418	  0.0333	  0.0256	  0.0274	  0.0562	  0.1946	  0.3873	  0.4729	  0.5015	  0.5173	  0.5301	  0.5434	  0.5576	  0.5703	  0.5787	  0.5839	  0.5858	  0.5870	  0.5897	  0.5968	    0.61
14	14	  255.00	   36.00	    0.00	 0.42034	 0.23836	 0.01099	   55.92	   69.11	   76.60	  0.0131	  0.0139	  0.0146	  0.0149	  0.0140	  0.0121	  0.0106	  0.0099	  0.0105	  0.0119	  0.0137	  0.0181	  0.0267	  0.0346	  0.0422	  0.0454	  0.0358	  0.0270	  0.0291	  0.0641	  0.2444	  0.5294	  0.6955	  0.7722	  0.8087	  0.8256	  0.8360	  0.8434	  0.8489	  0.8543	  0.8619	  0.8679	  0.8734	  0.8764	  0.8744	    0.87
15	15	    0.00	   72.00	    0.00	 0.01192	 0.02333	 0.01017	   17.15	  -27.26	   10.94	  0.0082	  0.0087	  0.0091	  0.0093	  0.0092	  0.0090	  0.0089	  0.0088	  0.0092	  0.0103	  0.0133	  0.0226	  0.0373	  0.0467	  0.0481	  0.0444	  0.0377	  0.0287	  0.0197	  0.0137	  0.0107	  0.0092	  0.0082	  0.0075	  0.0074	  0.0075	  0.0080	  0.0090	  0.0104	  0.0110	  0.0107	  0.0100	  0.0092	  0.0092	  0.0109	    0.02
16	16	   42.00	   72.00	    0.00	 0.03110	 0.03687	 0.00894	   22.61	   -7.26	   22.31	  0.0066	  0.0071	  0.0073	  0.0075	  0.0082	  0.0081	  0.0077	  0.0076	  0.0080	  0.0090	  0.0116	  0.0192	  0.0319	  0.0406	  0.0434	  0.0441	  0.0436	  0.0410	  0.0373	  0.0351	  0.0345	  0.0343	  0.0334	  0.0327	  0.0332	  0.0349	  0.0377	  0.0417	  0.0461	  0.0488	  0.0493	  0.0487	  0.0477	  0.0475	  0.0518	    0.06
17	17	   85.00	   72.00	    0.00	 0.06872	 0.06528	 0.01046	   30.70	    5.97	   33.90	  0.0085	  0.0091	  0.0094	  0.0097	  0.0097	  0.0093	  0.0088	  0.0086	  0.0089	  0.0102	  0.0130	  0.0221	  0.0389	  0.0513	  0.0562	  0.0587	  0.0591	  0.0569	  0.0562	  0.0624	  0.0751	  0.0847	  0.0870	  0.0877	  0.0898	  0.0935	  0.0989	  0.1056	  0.1125	  0.1169	  0.1188	  0.1188	  0.1185	  0.1198	  0.1262	    0.14
18	18	  127.00	   72.00	    0.00	 0.12556	 0.10151	 0.01179	   38.11	   20.19	   44.76	  0.0099	  0.0106	  0.0110	  0.0114	  0.0110	  0.0103	  0.0097	  0.0094	  0.0100	  0.0114	  0.0143	  0.0241	  0.0444	  0.0610	  0.0695	  0.0734	  0.0698	  0.0627	  0.0632	  0.0818	  0.1278	  0.1671	  0.1782	  0.1812	  0.1857	  0.1924	  0.2011	  0.2113	  0.2212	  0.2273	  0.2294	  0.2294	  0.2280	  0.2296	  0.2388	    0.26
